hs_code,description,mfn_rate
2902300000,Toluen,0.0
2902410000,o-Xylen,0.0
2902420000,m-Xylen,0.0
2902430000,p-Xylen,0.0
2902440000,Blandinger af xylenisomerer,0.0
2902500000,Styren,0.0
2902600000,Ethylbenzen,0.0
2902700000,Cumen,0.0
2902900000,Andre varer,0.0
2903110000,Chlormethan (methylchlorid) og chlorethan (ethylchlorid),0.055
2903120000,Dichlormethan (methylenchlorid),0.055
2903130000,Chloroform (trichlormethan),0.055
2903140000,Tetrachlormethan (carbontetrachlorid),0.055
2903150000,"Ethylendichlorid (ISO) (1,2-dichlorethan)",0.055
2903190010,"1,1,1-Triklorethan (metylkloroform)",0.055
2903190020,"1,3-Dichlorpropan (CAS RN 142-28-9) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2903190090,Andre varer,0.055
2903210000,Vinylchlorid (chlorethylen),0.055
2903220010,Med en renhedsgrad på 99 vægtprocent eller derover,0.055
2903220090,Andre varer,0.055
2903230000,Tetrachlorethylen (perchlorethylen),0.055
2903290010,hexachlorbutadien (CAS 87-68-3),0.055
2903290020,"trans-1,2-Dichloroethylen (CAS RN 156-60-5) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2903290090,Andre varer,0.055
2903410000,Trifluormethan (HFC-23),0.055
2903420000,Difluormethan (HFC-32),0.055
2903430010,Fluoromethan (methylfluorid) (HFC-41),0.055
2903430020,"1,2-Difluoroethan (HFC-152)",0.055
2903430030,"1,1-Difluorethan (HFC-152a)",0.055
2903440010,Pentafluorethan (HFC-125) (CAS RN 354-33-6),0.055
2903440020,"1,1,1-Trifluorethan (HFC-143a)",0.055
2903440030,"1,1,2-Trifluoroethan (HFC-143)",0.055
2903450010,"1,1,1,2-Tetrafluorethan (HFC-134a)",0.055
2903450020,"1,1,2,2-Tetrafluoroethan (HFC-134)",0.055
2903460010,"1,1,1,2,3,3,3-Heptafluorpropan (HFC-227ea)",0.055
2903460020,"1,1,1,2,2,3-Hexafluorpropan (HFC-236cb)",0.055
2903460030,"1,1,1,2,3,3-Hexafluorpropan (HFC-236ea)",0.055
2903460040,"1,1,1,3,3,3-Hexafluorpropan (HFC-236fa)",0.055
2903470010,"1,1,2,2,3-Pentafluorpropan (HFC-245ca)  (CAS RN 460-73-1)",0.055
2903470020,"1,1,1,3,3-Pentafluorpropan (HFC-245fa) (CAS RN 460-73-1)",0.055
2903480010,"1,1,1,3,3-Pentafluorobutan (HFC-365mfc)",0.055
2903480020,"1,1,1,2,2,3,4,5,5,5-Decafluoropentan (HFC-43-10mee)",0.055
2903491000,"Andre pentafluorpropaner, hexafluorfluorpropaner og heptafluorpropaner",0.055
2903493010,Carbontetrafluorid (tetrafluormethan) (CAS RN 75-73-0),0.055
2903493020,Perfluorethan (CAS RN 76-16-4),0.055
2903493090,Andre varer,0.0
2903499010,Fluoroethan (ethylfluorid) (HFC-161),0.055
2903499090,Andre varer,0.055
2903510010,"2,3,3,3-Tetrafluorprop-1-en (2,3,3,3-tetrafluorpropen) (CAS RN 754-12-1)",0.055
2903510020,"Trans-1,3,3,3-tetrafluorprop-1-en (Trans-1,3,3,3-tetrafluorpropen) (CAS RN 29118-24-9)",0.055
2903510090,Andre varer,0.055
2903590030,Hexafluorpropen (CAS RN 116-15-4),0.055
2903590040,"1,1,2,3,4,4-Hexafluorbuta-1,3-dien (CAS|RN|685-63-2)",0.055
2903590090,Andre varer,0.055
2903610000,Methylbromid (bromomethan),0.055
2903620000,"Ethylendibromid (ISO) (1,2-dibromoethan)",0.055
2903691100,Dibrommethan,0.0
2903691925,"(E)-1,4-Dibrombut-2-en (CAS RN 821-06-7) med en renhedsgrad på 98 vægtprocent eller derover",0.055
2903691930,1-Brompropan (CAS RN 106-94-5),0.055
2903691935,"2,2-Dibrompropan (CAS RN 594-16-1) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2903691940,3-(Brommethyl)pentan (CAS RN 3814-34-4) med en renhedsgrad på 99 vægtprocent eller derover,0.055
2903691950,"Vinylbromid (CAS RN 593-60-2) med en renhed på 98 vægtprocent eller derover eller som opløsning i tetrahydrofuran (CAS RN 109-99-9) med et indhold på 23 vægtprocent eller derover, men ikke over 26 vægtprocent vinylbromid",0.055
2903691960,1-Brom-2-methylpropan (CAS RN 78-77-3) med en renhedsgrad på 99 vægtprocent eller derover,0.055
2903691990,Andre varer,0.055
2903698000,Jodider,0.055
2903710000,Chlordifluormethan (HCFC-22),0.055
2903720010,"Dichlor-1,1,1-trifluoroethan (CAS RN 306-83-2) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2903720090,andre varer,0.055
2903730000,"Dichlorfluorethaner (HCFC-141, 141b)",0.055
2903740000,"Chlordifluorethaner (HCFC-142, 142b)",0.055
2903750000,"Dichlorpentafluorpropaner (HCFC-225, 225ca, 225cb)",0.055
2903761000,Bromochlorodifluoromethan (Halon-1211),0.055
2903762000,Bromotrifluoromethan (Halon-1301),0.055
2903769000,Dibromotetrafluoroethaner (Halon-2402),0.055
2903776000,"Trichlorfluormethan, dichlordifluormethan, trichlortrifluorethaner, dichlortetrafluorethaner og chlorpentafluorethan",0.055
2903779010,Chlortrifluorethylen (CAS RN 79-38-9),0.055
2903779015,Pentaklorfluorethan,0.055
2903779020,Tetraklordifluorethaner,0.055
2903779025,Heptaklorfluorpropaner,0.055
2903779030,Hexaklordifluorpropaner,0.055
2903779035,Pentaklortrifluorpropaner,0.055
2903779040,Tetraklortetrafluorpropaner,0.055
2903779045,Triklorpentafluorpropaner,0.055
2903779050,Diklorhexafluorpropaner,0.055
2903779055,Klorheptafluorpropaner,0.055
2903779060,Klortrifluormetan,0.055
2903779090,Andre varer,0.055
2903780000,Andre perhalogenerede derivater,0.055
2903793010,"Trans-1-chlor-3,3,3-trifluorpropen (CAS RN 102687-65-0)",0.055
2903793020,Bromchlormethan (CAS RN 74-97-5),0.055
2903793090,Andre varer,0.0
2903798000,I andre tilfælde,0.0
2903810000,"1,2,3,4,5,6-Hexachlorcyclohexan (HCH (ISO)), herunder lindan (ISO, INN)",0.055
2903820000,"Aldrin (ISO), chlordan (ISO) og heptachlor (ISO)",0.055
2903830000,Mirex (ISO),0.055
2903891000,"1,2-Dibrom-4-(1,2-dibromethyl)cyclohexan; tetrabromcyclooctaner",0.0
2903892020,"1,2,5,6,9,10-Hexabromcyclododecan (CAS RN 3194-55-6)",0.055
2903892025,"rel-(1R,2R,5S,6R,9R,10S)-1,2,5,6,9,10-hexabromcyklododekan (CAS RN 134237-50-6)",0.055
2903892030,"rel-(1R,2R,5R,6S,9R,10S)-1,2,5,6,9,10-hexabromcyclododecan (CAS RN 134237-51-7)",0.055
2903892035,"rel-(1R,2R,5R,6S,9S,10R)-1,2,5,6,9,10-hexabromcyclododecan (CAS RN 134237-52-8)",0.055
2903892055,Hexabromcyclododecan (CAS RN 25637-99-4),0.055
2903897050,Chlorcyclopentan|(CAS RN 930-28-9),0.055
2903897060,Octafluorcyclobutan (CAS|RN|115-25-3),0.055
2903897090,Andre varer,0.055
2903910000,"Chlorbenzen, o-dichlorbenzen og p-dichlorbenzen",0.055
2903920010,"DDT (1,1,1-trichlor-2,2-bis(4-chlorphenyl)ethan) (CAS 50-29-3)",0.0
2903920090,Andre varer,0.0
2903930000,Pentachlorobenzen (ISO),0.055
2903940000,Hexabrombiphenyler,0.055
2903991000,"2,3,4,5,6-Pentabromethylbenzen",0.0
2903998010,4-Brom-2-fluorbiphenyl (CAS RN 41604-19-7) med en renhedsgrad på 99 vægtprocent eller derover,0.055
2903998018,1-Fluornaphthalen (CAS RN 321-38-0) med en renhedsgrad på 99 vægtprocent eller derover,0.055
2903998020,"1,2-Bis(pentabromphenyl)ethan (CAS RN 84852-53-9)",0.055
2903998023,"3,5-Bis(trifluormethyl)benzylbromid (CAS RN 32247-96-4) med en renhedsgrad på 95 vægtprocent eller derover",0.055
2903998025,"2,2'-Dibromobiphenyl (CAS RN 13029-09-9) med en renhedsgrad på 95 vægtprocent eller derover",0.055
2903998030,"1,3-Dichlorobenzen (CAS RN 541-73-1)",0.055
2903998035,"2-Brom-9,9'-spirobi[9H-fluoren] (CAS RN 171408-76-7) med en renhedsgrad på 95 vægtprocent eller derover",0.055
2903998040,"2,6-Dichlortoluen (CAS RN 118-69-4), af renhed på 99|vægtprocent og derover og med indhold af:
 
-|tetrachlordibenzodioxin på 0,001|mg/kg og derunder,
 
-|tetrachlordibenzofuran på 0,001|mg/kg og derunder,
 
-|tetrachlorbiphenyl på 0,2|mg/kg og derunder",0.055
2903998045,1-brom-4-(trans-4-propylcyclohexyl)benzen (CAS RN 86579-53-5) med en renhed på 95 vægtprocent eller derover,0.055
2903998050,Fluorbenzen (CAS RN|462-06-6),0.055
2903998055,1-Brom-4-(trans-4-ethylcyclohexyl)benzen (CAS RN 91538-82-8) med en renhed på 95 vægtprocent eller derover,0.055
2903998065,"2,6-Difluorbenzyl bromid (CAS RN 85118-00-9) med en renhedsgrad på 97 vægtprocent eller derover",0.055
2903998070,1-[Chlor(phenyl)methyl]-2-methylbenzen (CAS RN 41870-52-4) med en renhed på 99 vægtprocent eller derover,0.055
2903998083,"1-Brom-3,4,5-trifluorbenzen (CAS RN 138526-69-9) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2903998088,"biphenyl, chloreret (CAS 1336-36-3)",0.055
2903998090,Andre varer,0.0
2904100030,Natrium-p-styrensulfonat (CAS RN 2695-37-6),0.055
2904100050,Natrium-2-metylprop-2-en-1-sulfonat (CAS RN 1561-92-8),0.055
2904100090,Andre varer,0.055
2904200010,Nitromethan (CAS RN 75-52-5),0.055
2904200020,Nitroethan (CAS RN 79-24-3),0.055
2904200030,1-Nitropropan (CAS RN 108-03-2),0.055
2904200040,2-Nitropropan (CAS RN 79-46-9),0.055
2904200050,"2,4-Dinitrotoluen (CAS RN 121-14-2)",0.055
2904200060,"5-tert-butyl-2,4,6-trinitro-m-xylen (CAS RN 81-15-2)",0.055
2904200090,Andre varer,0.055
2904310000,Perfluorooctansulfonat,0.055
2904320000,Ammoniumperfluorooctansulfonat,0.055
2904330000,Lithium perfluorooctansulfonat,0.055
2904340000,Kalium perfluorooctansulfonat,0.055
2904350000,Andre salte af perfluorooctansulfonat,0.055
2904360000,Perfluoroctansulfonylfluorid,0.055
2904910000,Trichlornitromethan (chlorpikrin),0.055
2904990020,"1-Chlor-2,4-dinitrobenzen (CAS RN 97-00-7)",0.055
2904990025,Difluormethansulphonylchlorid (CAS|RN|1512-30-7),0.055
2904990030,Tosylchlorid (CAS RN 98-59-9),0.055
2904990040,4-Klorbenzensulfonylklorid|(CAS RN|98-60-2),0.055
2904990050,Ethansulfonylchlorid|(CAS RN 594-44-5),0.055
2904990055,"2,4-Dichlor-1,3-dinitro-5-(trifluoromethyl)benzen (CAS RN 29091-09-6) med en renhedsgrad på 96 vægtprocent eller derover",0.055
2904990060,"4,4'-Dinitrostilben-2,2'-disulfonsyre (CAS RN 128-42-7)",0.055
2904990065,"4-Nitrotoluen-2-sulfonsyre (CAS RN 121-03-9) i pulverform, med en renhed på 80 vægtprocent eller derover og et indhold af vand på 15 vægtprocent eller derover",0.055
2904990080,1-Chlor-2-nitrobenzen (CAS RN 88-73-3),0.055
2904990090,Andre varer,0.0
2905110010,"Methanol (CAS RN 67-56-1) med en renhed på 99,85 vægtprocent eller derover",0.055
2905110090,Andre varer,0.055
2905120010,Propan-1-ol (propylalkohol) (CAS RN 71-23-8),0.055
2905120090,Andre varer,0.055
2905130000,Butan-1-ol (n-butylalkohol),0.055
2905141000,2-Methylpropan-2-ol (tert-butylalkohol),0.046
2905149000,Andre varer,0.055
2905162000,Octan-2-ol,0.0
2905168500,Andre varer,0.055
2905170000,"Dodecan-1-ol (laurylalkohol), hexadecan-1-ol (cetylalkohol) og octadecan-1-ol (stearylalkohol)",0.055
2905190011,"Kalium tert-butanolat (CAS RN 865-47-4), også i form af opløsning i tetrahydrofuran ifølge bestemmelse 1e), kapitel 29|i KN",0.055
2905190019,Andre varer,0.055
2905190020,"Butyltitanatmonohydrat, homopolymer (CAS RN 162303-51-7)",0.055
2905190025,Tetra-(2-ethylhexyl)titanat (CAS RN 1070-10-6),0.055
2905190070,Titantetrabutanolat (CAS RN 5593-70-4),0.055
2905190080,Titantetraisopropoxid|(CAS RN|546-68-9),0.055
2905190085,Titantetraetanolat (CAS RN 3087-36-3),0.055
2905190098,Andre varer,0.055
2905220010,"Linalool (CAS RN 78-70-6) med indhold af (3R)-(-)-linalool (CAS RN 126-91-0) på 90,7 vægtprocent eller derover",0.055
2905220030,(±)-β-citronellol (CAS RN 106-22-9) med en renhedsgrad på 94 vægtprocent eller derover,0.055
2905220090,Andre varer,0.055
2905291000,Allylalkohol,0.055
2905299010,Cis-hex-3-en-1-ol (CAS|RN|928-96-1),0.055
2905299040,"Prop-2-yn-1-ol (CAS RN 107-19-7) med en renhed på 99 vægtprocent eller 
derove",0.055
2905299090,Andre varer,0.055
2905310010,Monoethylenglycol (gældende EF-nummer 203-473-3),0.055
2905310090,Andre varer,0.055
2905320000,"Propylenglycol (propan-1,2-diol)",0.055
2905392000,"Butan-1,3-diol",0.0
2905392600,"Butan-1,4-diol eller tetramethylenglycol (1,4-butanediol) med et biobaseret carbonindhold på 100|%",0.055
2905392800,Andre varer,0.055
2905393000,"2,4,7,9-Tetramethyldec-5-yn-4,7-diol",0.0
2905399515,"2,5-Dimethylhexan-2,5-diol (CAS RN 110-03-2) med en renhedsgrad på 98 vægtprocent eller derover",0.055
2905399525,Pinacol (CAS RN 76-09-5) med en renhedsgrad på 98 vægtprocent eller derover,0.055
2905399530,"2,4,7,9-Tetramethyl-4,7-decanediol (CAS RN 17913-76-7)",0.055
2905399535,"Propan-1,3-diol (CAS RN 504-63-2) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2905399540,"Decan-1,10-diol (CAS RN 112-47-0)",0.055
2905399545,"2,5,7,10,11,14-hexaoxa-1,6-distibabicyclo[4.4.4]tetradecan (CAS RN 29736-75-2) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2905399550,"2-Metyl-2-propylpropan-1,3-diol (CAS RN 78-26-2)",0.055
2905399560,"Dodecan-1,12-diol (CAS RN 5675-51-4)",0.055
2905399570,"2-Methylpropan-1,3-diol (CAS RN 2163-42-0) med en renhedsgrad på 98 vægtprocent eller derover",0.055
2905399580,"Pentan-1,5-diol (CAS RN 111-29-5) med en renhedsgrad på 97 vægtprocent eller derover",0.055
2905399590,Andre varer,0.055
2905410000,"2-Ethyl-2-(hydroxymethyl)propan-1,3-diol (trimethylolpropan)",0.055
2905420000,Pentaerythritol,0.055
2905430000,Mannitol,0.096
2905441100,"Med indhold af D-mannitol på 2|vægtprocent og derunder, beregnet på grundlag af indholdet af D-glucitol",0.077
2905441900,I andre tilfælde,0.09
2905449100,"Med indhold af D-mannitol på 2|vægtprocent og derunder, beregnet på grundlag af indholdet af D-glucitol",0.077
2905449900,I andre tilfælde,0.09
2905450000,Glycerol,0.038
2905490015,Erythritol i ren form,0.0
2905490085,Andre varer,0.0
2905510000,Ethchlorvynol (INN),0.0
2905599100,"2,2-Bis(brommethyl)propandiol",0.0
2905599820,"2,2,2-Trifluorethanol (CAS RN 75-89-8)",0.055
2905599890,Andre varer,0.0
2906110000,Menthol,0.055
2906120000,"Cyclohexanol, methylcyclohexanoler og dimethylcyclohexanoler",0.055
2906131000,Steroler,0.055
2906139000,Inositoler,0.0
2906190010,"Cyclohex-1,4-ylendimethanol (CAS RN 105-08-8)",0.055
2906190020,"4,4'-Isopropylidendicyclohexanol (CAS RN 80-04-6)",0.055
2906190040,Cyclopropylmethanol (CAS RN 2516-33-8),0.055
2906190050,4-tert-Butylcyclohexanol (CAS RN 98-52-2),0.055
2906190060,"5-Methyl-2-(prop-1-en-2-yl)cyclohexanol, isomerblanding (CAS RN 7786-67-6), med en renhed på 90 vægtprocent eller derover",0.055
2906190070,"(1S,2S,3R,5S)-(+)-2,3-pinandiol (CAS RN 18680-27-8) med en renhedsgrad på 98 vægtprocent eller derover",0.055
2906190090,Andre varer,0.055
2906210000,Benzylalkohol,0.055
2906290015,Dicofol  (CAS 115-32-2),0.055
2906290025,(2-Brom-5-iodophenyl)methanol (CAS RN 946525-30-0) med en renhedsgrad på 98 vægtprocent eller derover,0.055
2906290050,"2,2'-(m-Phenylen)dipropan-2-ol (CAS|RN|1999-85-5)",0.055
2906290060,3-[3-(Trifluormethyl)phenyl]propan-1-ol (CAS RN 78573-45-2),0.055
2906290085,2-Phenylethanol (CAS RN 60-12-8) med en renhedsgrad på 95 vægtprocent eller derover,0.055
2906290090,Andre varer,0.0
2907110000,Phenol (hydroxybenzen) og salte deraf,0.03
2907120010,"o-Cresol (CAS RN 95-48-7)med en renhed på 98,5 vægtprocent og derover",0.021
2907120020,Blanding af metakresol (CAS RN 108-39-4) ogparakresol (CAS RN 106-44-5) af renhed på 99 vægtprocent ellerderover,0.021
2907120040,p-Cresol (CAS RN 106-44-5) med en renhedsgrad på 99 vægtprocent eller derover,0.021
2907120090,Andre varer,0.021
2907130000,Octylphenol og nonylphenol samt isomerer deraf; salte af disse produkter,0.055
2907151000,1-Naphtol,0.0
2907159010,2-Naphthol|(CAS RN 135-19-3),0.055
2907159090,Andre varer,0.055
2907191020,"2,6-Xylenol (CAS RN 576-26-1) med en renhedsgrad på 99 vægtprocent eller derover",0.021
2907191090,Andre varer,0.021
2907199020,Biphenyl-4-ol (CAS RN 92-69-3),0.055
2907199030,2-Methyl-5-(propan-2-yl)phenol (CAS RN 499-75-2),0.055
2907199090,Andre carbonater,0.0
2907210010,Resorcinol (CAS RN 108-46-3),0.055
2907210090,Andre varer,0.055
2907220010,Hydroquinon (quinol),0.055
2907220090,Andre varer,0.055
2907230000,"4,4′-Isopropylidendiphenol (bisphenol|A, diphenylolpropan) og salte deraf",0.055
2907290013,"4,4'-Methylenedi-2,6-xylenol (CAS RN 5384-21-4) med en renhedsgrad på 98,5 vægtprocent eller derover",0.055
2907290015,"6,6'-Di-tert-butyl-4,4'-butylidendi-m-cresol|(CAS RN 85-60-9)",0.055
2907290030,"4,4',4''-Ethylidyntriphenol (CAS RN 27955-94-8)",0.055
2907290033,"2,2',2'',6,6',6''-Hexa-tert-butyl-α,α',α''-(mesitylen-2,4,6-triyl)tri-p-cresol (CAS RN 1709-70-2) med en renhedsgrad på 98 vægtprocent eller derover",0.055
2907290038,"Biphenyl-4,4'-diol (CAS RN 92-88-6) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2907290045,2-Methylhydroquinon (CAS RN 95-71-6),0.055
2907290085,Vandfri phloroglucinol (CAS RN 108-73-6) eller phloroglucinoldihydrat (CAS RN 6099-90-7) med en renhedsgrad på 95 vægtprocent eller derover,0.055
2907290090,Andre varer,0.055
2908110000,Pentachlorphenol (ISO),0.055
2908190020,"4,4'-(Perfluorisopropyliden)diphenol(CAS RN 1478-61-1)",0.055
2908190030,4-Chlorphenol (CAS RN 106-48-9),0.055
2908190070,"2,3,6-Trifluorphenol (CAS RN 113798-74-6) med en renhed på 98 vægtprocent eller derover",0.055
2908190090,Andre varer,0.055
2908910000,Dinoseb (ISO) og salte deraf,0.055
2908920000,"4,6-Dinitro-o-cresol (DNOC (ISO)) og salte deraf",0.055
2908990000,Andre varer,0.0
2909110000,Diethylether,0.055
2909191010,Indeholder ethanol (ethylalkohol) fremstillet af landbrugsprodukter (som opført i bilag I til traktaten om Den Europæiske Unions funktionsmåde),0.055
2909191090,Andre varer,0.055
2909199030,"Blanding af isomerer af (nonafluorbutyl)metylether eller (nonafluorbutyl)ethylether, af renhed på 99|vægtprocent og derover",0.055
2909199050,3-Ethoxy-perfluor-2-methylhexan (CAS RN 297730-93-9),0.055
2909199070,bis(2-methoxyethyl)ether (CAS RN 111-96-6),0.055
2909199090,Andre varer,0.055
2909200010,8-Methoxycedran (CAS RN 19870-74-7),0.055
2909200090,Andre varer,0.055
2909301000,Diphenylether,0.0
2909303100,"Pentabromdiphenylether; 1,2,4,5-tetrabrom-3,6-bis(pentabromphenoxy)benzen",0.0
2909303700,Decabromdiphenylether,0.055
2909303920,"1,1'-Propan-2,2-diylbis[3,5-dibrom-4-(2,3-dibrompropoxy)benzen] (CAS RN 21850-44-2)",0.055
2909303930,"1,1'-(1-Methylethyliden)bis[3,5-dibrom-4-(2,3-dibrom-2-methylpropoxy)]-benzen (CAS RN 97416-84-7)",0.055
2909303950,2-(1-Adamantyl)-4-Bromoanisol (CAS RN 104224-63-7) med en renhedsgrad på 99 vægtprocent eller derover,0.055
2909303960,tetrabromdiphenyl ether (C12H6Br4O) (CAS 40088-47-9),0.055
2909303965,hexabromdiphenylether C12H4Br6O (CAS 36483-60-0),0.055
2909303970,heptabromdiphenylether C12H3Br7O (CAS 68928-80-3),0.055
2909303990,I andre tilfælde,0.0
2909309010,2-(Phenylmethoxy)naphthalen (CAS RN 613-62-7),0.055
2909309015,"{[(2,2-dimethylbut-3-yn-1-yl)oxy]methyl}benzen (CAS|RN|1092536-54-3)",0.055
2909309020,"1,2-Bis(3-metylphenoxy)ethan (CAS RN 54914-85-1)",0.055
2909309025,"1,2-diphenoxyethan (CAS RN 104-66-5) i form af pulver eller som vandig dispersion med indhold på 30 vægtprocent eller derover, men ikke over 60 vægtprocent af 1,2-diphenoxyethan",0.055
2909309045,"5-Bromo-1,3-difluor-2-(trifluormethoxy)benzen (CAS RN 115467-07-7) med en renhedsgrad på 95 vægtprocent eller derover",0.055
2909309050,"1-Ethoxy-2,3-difluorbenzen (CAS|RN|121219-07-6)",0.055
2909309055,"3,4,5-Trimethoxytoluen (CAS RN 6443-69-2) med en renhed på 98 vægtprocent eller derover",0.055
2909309070,"O,O,O-1,3,5-trimetylresorcinol (CAS|RN|621-23-8)",0.055
2909309090,I andre tilfælde,0.055
2909410000,"2,2′-Oxydiethanol (diethylenglycol, digol)",0.055
2909430000,Monobutylethere af ethylenglycol eller af diethylenglycol,0.055
2909440010,2- Propoxyethanol (CAS RN 2807-30-9),0.055
2909440090,Andre varer,0.055
2909491100,2-(2-Chlorethoxy)ethanol,0.0
2909498010,1-Propoxypropan-2-ol (CAS|RN|1569-01-3),0.055
2909498020,"2,2,2',2'-Tetrakis(hydroxymetyl)-3,3'-oxydipropan-1-ol (CAS RN 126-58-9)",0.055
2909498030,"3,4-Dimethoxybenzylalkohol (CAS RN 93-03-8) med en renhedsgrad på 98 vægtprocent eller derover",0.055
2909498040,"2,2'-p-Phenylendioxydiethanol (CAS RN 104-38-1) med en renhedsgrad på 99 vægtprocent eller derover",0.055
2909498050,"2,2'-[Oxybis(methylen)]bis[2-ethylpropan-1,3-diol] (CAS RN 23235-61-2) med en renhedsgrad på 95 vægtprocent eller derover",0.055
2909498090,Andre varer,0.055
2909500010,4-(2-Methoxyethyl)phenol (CAS RN 56718-71-9),0.055
2909500090,Andre varer,0.055
2909601000,Acetalperoxider og hemiacetalperoxider,0.05
2909609040,"Bis(α,α-dimetylbenzyl)peroxid (CAS RN 80-43-3) med en renhedsgrad på 98 vægtprocent eller derover",0.055
2909609050,"Opløsning af 3,6,9-(ethyl og/eller propyl)-3,6,9-trimethyl-1,2,4,5,7,8-hexoxonaner (CAS RN 1613243-54-1) i mineralsk terpentin (CAS RN 1174522-09-8) med indhold af hexoxonaner på 25 vægtprocent eller derover, men ikke over 41 vægtprocent",0.055
2909609090,Andre varer,0.055
2910100000,Oxiran (ethylenoxid),0.055
2910200000,Methyloxiran (propylenoxid),0.0
2910300000,"1-Chlor-2,3-epoxypropan (epichlorhydrin)",0.0
2910400000,"Dieldrin (ISO, INN)",0.0
2910500000,Endrin (ISO),0.055
2910900005,"Varer, der indeholder over 35|% vægtprocent epoxyharpikser, også kendt som polyepoxider, som er polymerer eller præpolymerer, der indeholder reaktive epoxygrupper, baseret på epichlorhydrin og en alifatisk eller aromatisk alkoholholdig bestanddel (f.eks. BPA), i fast, halvfast eller flydende form, af alle typer molekylvægt eller molekylstruktur, også indeholdende hærdningsmidler eller tilsætningsstoffer, der overholder bestemmelse 1 g) til kapitel 29, så længe hærdningsmidlerne ikke har reageret kemisk på en sådan måde, at epoxyharpiksen hærdes eller omdannes til en anden vare, der ikke længere indeholder epoxygrupper",0.055
2910900010,2-[(2-Methoxyphenoxy)methyl]oxiran (CAS RN 2210-74-4),0.055
2910900015,"1,2-Epoxycyclohexan|(CAS RN 286-20-4)",0.055
2910900025,Phenyloxiran (CAS RN 96-09-3),0.055
2910900030,"2,3-Epoxypropan-1-ol (glucidol)|(CAS RN 556-52-5)",0.055
2910900050,"2,3-Epoxypropylphenylether|(CAS RN 122-60-1)",0.055
2910900080,Allylglycidylether (CAS RN 106-92-3),0.055
2910900090,Andre varer,0.055
2911000000,"Acetaler og hemiacetaler, også med andre oxygenholdige grupper, samt halogen-, sulfo-, nitro- eller nitrosoderivater deraf",0.05
2912110000,Methanal (formaldehyd),0.055
2912120000,Ethanal (acetaldehyd),0.055
2912190010,Undecanal (CAS|RN|112-44-7),0.055
2912190020,Acrylaldehyd (CAS RN 107-02-8) med en renhedsgrad på 98 vægtprocent eller derover bestemt til fremstilling af mellemprodukter til parfume eller farmaceutiske produkter,0.055
2912190090,Andre varer,0.0
2912210000,Benzaldehyd,0.055
2912290015,"2,6,6-Trimetylcyclohexencarbaldehyd (alfa-beta-isomerblanding)(CAS|RN|52844-21-0)",0.055
2912290035,Kanelaldehyd (CAS|RN|104-55-2),0.055
2912290065,Terephthalaldehyd (CAS RN 623-27-8) med en renhedsgrad på 98 vægtprocent eller derover,0.055
2912290070,4-tert-Butylbenzaldehyd (CAS RN 939-97-9),0.055
2912290075,Cyclohex-3-en-1-carbaldehyd (CAS RN 100-50-5) med en renhedsgrad på 98 vægtprocent eller derover,0.055
2912290090,Andre varer,0.055
2912410010,"vanillin med den kemiske formel C₈H₈O₃ eller C₉H₁₀O₃ og med en renhedsgrad, der er højere end 95 vægtprocent",0.055
2912410090,Andre varer,0.055
2912420010,"vanillin med den kemiske formel C₈H₈O₃ eller C₉H₁₀O₃ og med en renhedsgrad, der er højere end 95 vægtprocent",0.055
2912420090,Andre varer,0.055
2912490030,Salicylaldehyd (CAS RN 90-02-8),0.055
2912490050,"2,6-Dihydroxybenzaldehyd (CAS|RN|387-46-2)",0.055
2912490060,4-Hydroxybenzaldehyd (CAS RN 123-08-0) med en renhedsgrad på 96 vægtprocent eller derover,0.055
2912490070,"5-(1,1-Dimethylethyl)-2-methoxybenzaldehyd (CAS RN 85943-26-6) med en renhedsgrad på 98 vægtprocent eller derover",0.055
2912490090,Andre varer,0.055
2912500000,Cycliske polymerer af aldehyder,0.055
2912600000,Paraformaldehyd,0.055
2913000010,2-Nitrobenzaldehyd (CAS RN 552-89-6),0.055
2913000020,4-(Difluormethoxy)-3-hydroxybenzaldehyd (CAS RN 151103-08-1) med en renhedsgrad på 98 vægtprocent eller derover,0.055
2913000030,2-Hydroxy-5-nitrobenzaldehyd (CAS RN 97-51-8) med en renhedsgrad på 95 vægtprocent eller derover,0.055
2913000090,Andre varer,0.0
2914110000,Acetone,0.055
2914120000,Butanon (methylethylketon),0.055
2914130000,4-Methylpentan-2-on (isobutylmethylketon),0.055
2914191000,5-Methylhexan-2-on,0.0
2914199020,Heptan-2-on (CAS RN 110-43-0),0.055
2914199030,3-Methylbutanon (CAS RN 563-80-4),0.055
2914199040,Pentan-2-on (CAS RN 107-87-9),0.055
2914199060,Zinkacetylacetonat (CAS RN 14024-63-6),0.055
2914199070,Calcium acetylacetonat (CAS RN 19372-44-2) med en renhedsgrad på 95 vægtprocent eller derover,0.055
2914199090,Andre varer,0.0
2914220000,Cyclohexanon og methylcyclohexanoner,0.055
2914230000,Iononer og methyliononer,0.055
